AffymetrixID,AGI,L1P(-)normalized,L1P(-)rawvalue,L1P(-)flags,L2P(+)normalized,L2P(+)rawvalue,L2P(+)flags,L3P(-)normalized,L3P(-)rawvalue,L3P(-)flags,L4P(+)normalized,L4P(+)rawvalue,L4P(+)flagsvalue,L5P(-)normalized,L5P(-)rawvalue,L5P(-)flags,L6P(+)normalized,L6P(+)rawvalue,L6P(+)flags,meanRatioP(-)/P(+)
254636_at,At4g18700,1.859,946,P,0.397,155.6,P,1.466,398.2,P,0.534,179.1,P,1.852,1429.400,P,0.401,351.7,P,4.01546395491725
259925_at,At1g75040,2.971,358.9,P,0.501,46.7,P,1.485,95.8,P,0.491,39.1,P,1.592,291.8,P,0.515,107.2,P,4.01528059167161
248496_at,At5g50790,1.616,128.3,P,0.32,19.6,P,1.177,49.9,P,0.474,24.8,P,3.707,446.4,P,0.823,112.6,P,4.01245836558985
245038_at,At2g26560,3.317,813.6,P,0.842,159.3,P,1.158,151.6,P,0.488,78.9,P,3.079,1145.7,P,0.544,230.3,P,3.99076907300049
264497_at,At1g30840,2.033,68.2,P,0.526,13.6,P,1.474,26.4,P,0.48,10.6,A,2.062,104.9,P,0.411,23.8,P,3.9842946583035
249197_at,At5g42380,1.411,62.9,P,0.239,8.2,A,1.441,34.3,P,0.589,17.3,P,1.751,118.4,P,0.49,37.7,P,3.97458486758322
256672_at,At3g52310,1.892,85.3,P,0.46,16,A,1.5,36.1,P,0.38,11.3,A,1.912,130.8,P,0.5,38.9,A,3.9614706331045
247338_at,At5g63680,1.779,560.1,P,0.497,120.8,P,1.503,252.6,P,0.411,85.2,P,1.976,943.9,P,0.428,232.5,P,3.95107786588096
266752_at,At2g47000,2.369,352.4,P,0.563,64.6,P,1.437,114.1,P,0.528,51.7,P,2.278,513.9,P,0.469,120.3,P,3.92884968051487
263851_at,At2g04460,1.411,172.9,P,0.245,23.1,P,1.523,99.6,P,0.589,47.5,P,1.646,305.8,P,0.493,104.2,P,3.89455486895888
262313_at,At1g70900,1.664,437,P,0.453,91.8,P,1.523,213.5,P,0.477,82.6,P,1.993,794.1,P,0.414,187.6,P,3.89339032081971
254131_at,At4g24740,1.672,406.6,P,0.421,79,P,1.503,195.1,P,0.432,69.2,P,2.093,771.9,P,0.497,208.5,P,3.8873102364517
250690_at,At5g06530,1.724,677.9,P,0.407,123.5,P,1.472,309.1,P,0.399,103.5,P,1.97,1175.400,P,0.528,358,P,3.88538529985898
255561_at,At4g02050,1.655,384.9,P,0.478,85.8,P,1.48,183.8,P,0.471,72.2,P,2.587,912.5,P,0.52,208.4,P,3.85986454233996
252316_at,At3g48700,1.278,37.9,P,0.472,10.8,A,1.756,27.8,P,0.722,14.1,A,2.194,98.7,P,0.344,17.6,A,3.83922235312572
264574_at,At1g05300,1.478,81.1,P,0.378,16,A,1.472,43.1,P,0.451,16.3,A,2.276,189.4,P,0.528,50,P,3.82817235459512
266100_at,At2g37980,1.481,64.8,P,0.519,17.5,A,1.541,36,P,0.375,10.8,A,1.712,113.6,P,0.379,28.6,A,3.82668275877262
258947_at,At3g01830,1.381,136.9,P,0.264,20.2,M,1.453,76.9,P,0.619,40.4,P,1.891,284.3,P,0.488,83.4,P,3.81779833879995
261907_at,At1g65060,1.36,243,P,0.241,33.2,A,1.935,184.6,P,0.64,75.4,P,1.76,477.2,P,0.637,196.3,P,3.80984745378362
